GeneID	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18
JR_108984723	64218	39001	36117	79948	34182	37400	68816	142482	72483	57362	58517	76706	21275	24478	37347	45920	47856	56200	19442	23809	23442	21839	20841	37140	40634	42306	50117	28771	25248	47059	28018	36772	19541	29703	25270	20716
JR_118348015	44179	32759	27319	39637	22799	33277	22789	42349	16812	19704	18428	11906	31641	33051	23832	32164	28583	23410	35207	37048	32378	34921	34626	36143	14481	32629	29695	48693	23080	19362	32768	39269	30325	36108	30622	35920
JR_26380875	25996	27723	13505	33895	18684	30703	13837	12110	15133	10353	20985	11302	9801	5278	10455	21057	17597	17971	75848	94981	72724	108358	116177	100443	34426	79598	51301	92710	68613	58470	35923	79481	73198	155888	121686	124143
JR_108999013	14625	10419	10772	18550	12190	11727	13581	26411	14662	16601	18949	23080	2920	3263	7130	8574	10155	8185	5343	5884	5100	6434	5417	6882	9211	7682	10081	6282	4680	10269	7065	9847	4860	8002	5783	6429
JR_26380785	14119	8432	6631	7038	4731	6454	4740	7097	5412	3008	3690	4165	4954	4011	4176	6909	5533	5806	10183	10109	10524	9799	17048	17214	8053	14768	14872	14041	11057	10421	9881	13657	9027	14242	18580	17120
JR_118346323	13574	5109	3855	6706	3567	6154	2643	9725	3340	2277	4680	3867	2532	2512	2111	7223	4175	3671	5464	6211	4677	6354	7426	7395	4271	6119	6107	6101	5135	6746	7551	9228	5391	8381	8602	9054
JR_109011181	10250	10494	14521	21427	17137	15636	21873	13970	19005	20874	14377	15566	6099	6826	15395	12651	15187	13878	6110	6243	9444	7424	13132	18844	10313	7952	19319	8349	7505	9800	8317	10079	5639	9933	15193	19775
JR_26380874	9969	3465	2092	6876	2582	4471	2245	4945	2139	2465	6970	2170	5332	4578	2302	4386	5066	2456	6638	9112	4621	7224	7096	5403	3716	5189	3251	5025	2265	3317	6832	11447	4813	7868	6946	7034
JR_26380841	9832	5565	4401	5348	3112	4983	3346	5767	3599	2252	2553	2484	3843	2543	3487	5282	3675	4270	5947	5971	4878	5531	8883	9127	4205	7380	6670	7322	5297	5221	5309	7954	5138	7867	8883	8507
JR_109011795	7534	11340	15121	8505	5573	3754	7038	8830	8700	6169	3654	10279	10808	8373	12478	15922	14123	18770	3432	3560	4271	3067	2842	4667	8931	7428	13364	6246	5756	7050	3396	6422	3208	4289	3596	3437
JR_109019927	6979	3705	1835	5198	1815	3401	1868	4184	2668	2382	7379	3873	233	365	300	2251	1533	445	3586	4367	2456	4641	2385	1658	4654	7110	3370	6242	3257	6092	5564	7720	2910	5047	2087	2834
JR_108999631	6849	5622	5955	11970	6349	7137	12170	8129	8916	10438	10764	11933	2938	3333	3417	5363	6246	4044	4906	5978	5217	5278	5581	6640	9617	6946	9952	6484	6356	10429	7249	9213	4560	7263	5412	5217
JR_109013843	6269	5374	8612	4057	3792	4105	4994	6498	3888	2484	1042	3682	1962	3184	6470	1944	3396	3933	3351	2030	6185	2145	5509	9412	3872	6322	14461	5798	6259	5046	1653	3697	2516	3635	3892	3467
JR_109011406	6207	2060	1077	5797	1510	3553	2301	3172	3352	2303	9494	3305	443	312	107	1887	1646	544	3080	4003	1707	3259	1828	958	2940	4398	2182	4213	1804	3050	3890	5482	2132	3190	1886	1477
JR_26380894	6158	4680	2859	6022	3367	6057	3284	3847	3415	2477	3410	2964	3128	2025	2165	5636	4323	3627	5498	7448	4671	6006	8223	6509	4556	7811	4858	6676	4597	5550	6917	9665	5732	6991	9048	8125
JR_108993371	6134	7528	8883	9298	7515	5903	10890	9828	9594	10738	7126	11187	2714	2686	6955	5406	6727	8716	3164	3905	4552	4413	3885	5886	5709	4302	7369	3886	4650	6459	4662	4657	2330	4541	4829	5709
JR_26380840	6101	3072	1763	4187	1767	3235	1252	2731	1427	1024	2261	1139	1942	1684	1530	2628	2183	1947	1569	1998	1394	1893	2019	1675	635	1515	1389	1844	924	905	1204	1812	1509	2513	1976	2043
JR_109002938	6055	4581	3799	7697	4104	4978	4997	10907	4898	4831	5034	7537	939	1296	2325	4189	4440	2883	3742	4350	3497	4080	2484	3621	8392	4775	4666	3976	3809	5235	4050	5535	2513	3935	2519	2613
JR_26380780	5992	3968	3078	4432	2860	3823	3254	4885	4123	2534	2772	3919	2532	1524	2473	3998	3084	3225	2630	2989	2610	2979	3569	3920	1706	3580	3456	4020	2556	2506	1992	2572	2262	3954	4073	3889
JR_108992992	5907	3056	4206	5500	3446	4038	6953	10149	5576	6383	3959	6478	3268	2781	4842	4141	5125	3247	1936	2054	1586	2006	1533	1985	4946	2687	3142	2257	2159	3200	2206	3652	1781	3033	1584	1888
JR_109011430	5894	3211	1573	8854	3601	4679	1606	3872	2464	1628	5389	3598	1598	1478	1039	6515	4770	3398	3432	4163	2506	4309	4372	4125	4120	3691	4304	3940	3101	4412	3719	5399	2955	4706	4755	5224
JR_108984491	5620	3680	1896	6369	2228	3783	2336	2806	2613	2512	3802	2510	751	549	885	2244	1654	1080	4132	4994	3724	5462	6365	6858	3579	5006	4719	4784	3364	5200	5764	7583	2667	5208	5730	6452
JR_109006059	5303	2842	982	5985	3614	3898	1527	2201	2465	2680	4238	2147	259	162	367	3632	2043	1087	3611	4610	3113	4919	5161	4720	1876	3806	2429	3736	3426	4254	3439	4769	2933	5293	5628	6314
JR_109012622	5164	1941	1107	3265	1297	2032	1099	3274	1356	1397	4127	1976	467	519	393	1574	1419	577	4105	4665	2628	5187	3138	2269	5087	6069	2448	4753	2560	4305	5068	7368	3226	5012	2663	2963
JR_109016932	5038	3754	3425	4246	4580	3628	5334	4530	5017	5730	4865	4765	1669	1868	3515	4770	3472	3032	2150	2014	2655	2511	2752	3788	3565	3038	4481	2433	3095	4131	2973	3424	1481	2895	3468	4642
JR_109000747	4868	2334	1691	4242	2010	2902	1796	2914	2338	2469	5846	3193	821	1112	711	1796	2165	990	3481	3544	2230	3968	2577	1969	3432	4854	3013	3839	2179	4558	5275	7086	2642	3992	2517	2590
JR_108996022	4824	2395	1580	5306	2063	3780	2683	4957	2868	2584	4177	3046	1051	1044	996	2526	2538	1509	4175	4550	2914	5070	3484	3057	5884	5152	3177	5085	2834	5217	5491	8055	2943	4723	3803	4147
JR_108986272	4750	3574	2009	3780	3084	3081	2433	3269	3967	2499	2806	3019	440	241	1190	3792	1466	3206	1746	1903	2007	1849	2314	2702	1868	1951	2195	1813	1774	2665	3177	2729	1502	2237	2715	3277
JR_109012029	4534	3096	3080	4666	3006	3368	4450	4126	4191	5162	5129	4105	2208	1667	2421	3166	3496	2716	2985	3367	2959	2962	2848	3196	4136	3854	3626	3097	3408	4393	2867	4699	2162	3503	2840	3499
JR_109018672	4167	5579	5864	4374	4257	3722	6473	4911	7311	6733	4003	6565	2498	2076	5819	3714	3905	5051	1978	2099	3281	2478	2512	4119	2645	2332	4031	2606	2847	4704	2524	2379	1370	2851	3578	4892
JR_26380855	4063	3320	1727	4727	2857	4379	2211	3485	2225	1812	4491	2375	3430	1123	1990	4331	3629	2855	2949	3811	2219	3927	4308	3321	1491	3154	1550	2975	1816	1694	1872	3354	2726	5075	4882	3428
JR_109012707	4046	2400	1665	2966	1463	2625	1015	1390	1196	707	1163	870	1677	1619	955	1849	1989	1442	2374	2632	1977	2594	2796	2582	785	2558	2341	2885	1288	973	1852	2194	1743	2961	3092	2751
JR_109020382	3911	2826	3359	2820	2411	2340	2834	6872	3199	2973	2570	3061	3057	1964	3738	3597	3117	2536	644	686	689	680	646	855	1116	692	841	611	622	975	605	850	440	726	838	824
JR_109014159	3886	1645	905	2834	1197	1877	830	1786	1127	1126	3287	1419	277	344	148	1263	1045	349	3315	4011	2002	4386	1924	1513	3421	4781	2179	5055	2358	4433	4058	6658	3113	4723	2244	2357
JR_108994817	3879	2845	3269	1502	1506	1446	1843	2421	2285	1472	907	1359	1077	1333	2918	1541	1448	1534	1922	1449	2436	1536	1572	2337	1653	1800	2779	1528	1774	1623	1675	1783	1156	1880	1765	2258
JR_108998625	3804	2896	3777	9388	4613	3182	10541	12656	6901	14849	5943	12926	1106	3806	7599	3883	7904	17429	728	988	1262	947	272	4028	2208	2100	4572	1672	1098	3290	524	699	730	1105	1217	625
JR_109019694	3435	5231	4701	8456	5489	6005	9108	6504	7644	11606	5903	9205	1633	1748	4328	2928	4507	7230	3102	3215	3969	3838	3592	6553	5027	4976	6494	4294	4120	6455	3255	4812	2336	4361	4614	5899
JR_109011886	3371	2454	762	3139	1667	2557	624	1926	1072	531	4266	1391	322	179	250	3939	1194	416	1245	1857	1543	1916	2628	3055	1927	1499	1769	1396	1308	1823	2507	2932	1523	2554	1932	3015
JR_26380822	3335	2047	1600	1988	1224	1583	1246	1842	1562	759	904	1113	1326	884	1053	1698	1145	1475	1696	1935	1698	1806	2483	2539	908	2379	2416	2486	1778	1417	1502	1760	1620	2698	3034	2820
JR_109017539	3311	1571	849	3866	1672	2912	1582	3284	1917	2305	4189	2828	747	824	490	2004	1869	871	2310	2968	1490	2696	2962	1742	2603	3507	1930	3273	1531	2840	3239	4761	1844	3331	3008	2998
JR_109006343	3267	2409	2226	2897	1995	2148	3032	6070	2777	2763	2027	3481	1532	1153	2495	2838	2361	2700	1476	1709	1668	1807	1684	2128	2567	2055	3117	1985	1268	2609	1845	2337	972	1780	1945	2110
JR_26380795	3228	1679	1082	2319	1158	2249	892	1366	1077	691	1438	716	1513	892	792	1621	1565	1265	6729	9061	4887	7968	8774	6939	4600	7266	4641	7134	4207	5723	5943	9771	5940	9279	8954	7089
JR_108982099	3224	2429	1739	3935	2022	2952	2131	2216	2668	2065	3274	2648	26	48	269	876	747	433	2392	3038	3112	3128	2788	3841	5286	5412	3333	4445	3520	6146	3546	4663	2015	3343	2709	3434
JR_109002301	3175	1920	1157	3109	1436	2384	1869	2004	1940	2306	4101	3088	194	258	376	1370	1041	607	3623	4504	3434	4855	2928	3297	4669	6325	5305	7552	5045	9238	6248	7200	3123	5740	4560	4468
JR_26380890	3111	1337	897	2419	830	2180	691	935	668	563	1002	379	1225	1142	496	733	1191	735	2329	2427	1644	2450	2137	1417	940	2392	1863	2732	878	695	1561	2287	1894	2956	2148	1891
JR_108983841	2960	1960	1591	2403	1672	1804	2343	3315	1941	2344	2380	2652	93	184	840	1264	643	1143	813	1173	1500	1333	1327	2081	1161	1330	1553	995	1346	2359	1477	1494	752	1370	1735	2088
JR_108992839	2954	2875	3480	4173	2677	2964	4990	4363	4459	4658	3605	4739	1343	1703	2762	2240	2221	2686	1588	1992	2238	1953	1841	3311	2893	2886	4047	2675	2196	4049	2186	2917	1330	2464	2122	2618
JR_26380825	2889	1385	998	2388	1213	1861	999	1373	1283	910	1569	1214	727	639	487	1292	1399	908	1982	2473	1602	2174	2305	2125	1134	2713	2035	3038	1399	1534	2421	3210	1617	2580	2632	2377
JR_108999594	2841	1368	794	3213	1288	2047	1121	2270	1295	1332	3759	1944	173	259	244	1283	1151	465	3242	4517	2591	4377	3782	3164	5234	6150	3178	5427	2679	6257	6282	7391	3091	4983	3781	4141
JR_108992039	2791	2037	2016	4537	2338	2965	4754	4312	3599	4427	4421	4764	162	362	603	1562	2069	1383	1727	1746	1960	2021	1800	2341	3223	2710	2437	2459	2392	3296	1800	2987	1322	2605	1452	1806
JR_108994925	2791	1347	938	2628	1093	1551	766	1866	1131	1037	3211	1726	159	187	157	1031	1018	300	3982	4610	2652	3921	2876	2140	5484	5172	2819	4352	2742	4940	5247	8288	3134	4386	3003	2832
JR_108994805	2783	2736	3208	3883	2900	2830	5151	5101	4614	5164	4030	5076	1732	1763	3412	3036	2909	3682	1416	1603	2193	1665	1887	2908	2511	2120	3813	2125	1953	3618	2048	2244	1128	2197	2083	2703
JR_108996790	2776	2291	1993	3885	2899	2441	2431	4613	1841	3180	2072	3782	371	535	1849	2535	2116	6868	1141	1486	1368	1599	1809	3034	1622	1697	2454	1438	1152	2717	1529	1245	935	1328	1673	2121
JR_109002774	2759	1719	580	2928	1464	2203	640	3821	839	815	2675	3063	592	350	408	3079	1049	1268	1079	1294	1045	1699	1714	3187	2566	1591	1958	1648	1157	2499	1184	1770	785	2043	1663	2276
JR_109006783	2721	2579	2921	2304	2119	2069	3400	2938	3621	3118	2508	2952	1562	1276	3098	1857	1782	2150	1147	1228	1503	1221	1229	1924	1407	1320	1775	1299	1362	1964	1124	1223	921	1597	1296	1891
JR_109018242	2717	1775	1292	1368	1820	1680	1963	4986	2457	2166	2296	5127	826	294	1445	1400	775	1852	1119	975	1287	1066	1502	1965	1755	1421	964	1448	885	1499	1468	1704	745	1301	1610	2253
JR_108996038	2673	2008	1245	4269	2085	2808	2075	2733	2311	2350	3749	3019	398	379	571	1822	1705	941	3516	4804	2879	4636	3717	3226	5033	5066	2961	5155	2705	5522	4523	7361	2778	5032	4211	4303
JR_108979666	2600	2456	2669	3167	2239	2169	3919	3755	3271	3959	3220	3195	1222	1336	2244	2412	2134	2546	1146	1539	2014	1627	1869	3306	2114	2108	3764	1879	1994	2861	1924	2036	1289	2058	2023	2579
JR_26380810	2495	1241	777	1476	941	1459	692	1425	861	615	1405	811	843	565	610	1300	936	821	1201	1286	889	1191	1580	1477	536	1622	1739	1522	1274	925	1076	1311	1314	1848	1822	1784
JR_118345846	2465	1967	2310	1670	1257	1479	1165	1068	983	974	808	622	2422	2435	2381	547	1401	2087	1321	1350	1557	1106	1232	1422	375	1068	1521	1215	702	409	1010	1080	1075	1512	985	1114
JR_109021291	2421	1633	1984	2385	2145	2037	4824	6009	3267	4564	3030	5470	1096	1265	1755	1429	1284	2665	1051	1073	1630	1010	892	2815	2128	2499	4260	1999	2265	3450	879	1490	899	1574	1099	1232
JR_108985631	2408	1967	2319	1211	1423	1238	1636	1940	1879	1602	1051	1476	684	748	1888	1065	966	1202	1195	1139	1658	1081	1204	1660	1344	1205	1661	1101	1260	1563	1208	1170	828	1369	1335	1879
JR_109010735	2353	2494	2065	4409	2505	2044	3518	3651	3294	5447	5941	5670	1636	972	3126	2627	1658	1611	2141	3127	2198	2516	2359	2908	5009	3841	3180	2450	3386	4173	3422	3248	2595	3755	2885	2813
JR_108984186	2343	4204	7198	2108	2466	1269	3356	2149	3700	2458	1698	2030	681	348	2352	359	1392	1747	734	685	1193	714	806	1355	957	921	1147	782	1052	1363	704	1038	629	1093	1079	1140
JR_108988192	2341	1208	709	3631	1608	2652	1583	3370	1684	1678	3917	2759	244	193	300	1829	1493	806	2493	2402	1490	2869	2690	1686	3196	3588	2168	3645	2042	3439	3848	4746	2199	2887	3175	3165
JR_108989638	2326	3066	3536	2864	2361	2321	3347	3664	3905	3116	2228	3458	1402	1013	3498	2210	2644	2650	1135	1255	1595	1317	1158	1738	1566	1252	2398	1349	1277	2444	1357	1304	804	1483	1371	1979
JR_108993963	2300	3031	3429	2697	1693	1607	2061	2400	1645	2286	1649	2231	1715	1246	2710	1291	1807	2003	1276	1398	1730	1352	1239	2239	1129	1462	2704	1479	1455	2003	1652	2114	947	1621	1817	1801
JR_108992563	2283	2007	2335	2504	1691	1727	2808	3659	2875	2873	2118	2794	1190	1073	2215	1671	1689	2031	738	919	1172	806	950	2014	1262	1139	1611	1224	951	1734	1127	1219	565	1212	1391	1666
JR_109013881	2277	2083	2123	1998	1082	1505	1223	1681	1439	812	870	1221	1364	1145	1627	1943	1411	1825	1364	1404	1565	1475	1885	2621	868	1739	2287	1748	1463	972	1139	1474	1233	1936	2097	2353
JR_109004979	2267	2287	3019	3211	2357	2081	3197	3837	2440	3642	2444	3430	2012	1897	3102	3165	2850	2658	1177	1129	1819	1189	1131	2161	1598	1460	3448	1193	1092	2023	1335	1820	934	1397	1272	1448
JR_109000426	2242	1107	927	2669	1256	1670	1183	2236	1373	1311	2472	1781	279	340	366	1302	1368	636	2503	2912	1875	2711	2549	2066	4007	3582	2027	3020	1989	3811	4208	5298	2051	3303	2408	2597
JR_108980460	2226	1746	714	2891	1868	2377	2147	2148	1486	3160	3024	2495	273	319	344	1376	745	1914	1376	1846	1394	1803	2988	3298	1425	2117	2445	1962	1884	3316	1796	1967	1033	1684	3107	3639
JR_108985982	2225	1138	906	2184	1118	1678	1184	1763	1492	1567	2263	1605	200	287	317	1089	773	524	1770	1968	1332	1877	1653	1386	2281	2709	1854	2283	1468	2953	2685	3559	1358	2081	1693	1727
JR_108999018	2220	1539	1243	3239	1891	2178	2416	1956	2450	3136	3527	2208	437	569	680	1324	1464	1025	1229	1413	1153	1661	1567	2033	1181	1552	1496	1442	1188	2339	1663	2181	1004	1809	1550	2130
JR_109001513	2219	1982	2211	1769	1575	1554	2315	2961	2276	2392	1540	2058	800	899	2400	1554	1420	1822	1336	1255	1762	1391	1489	2542	1790	1620	2855	1324	1469	2263	1591	1285	804	1555	1733	2894
JR_108993150	2206	1637	1648	1883	1225	1462	1774	1740	1896	1387	1328	1344	980	987	1210	1358	1104	1242	738	813	1075	954	1294	1826	1055	1282	1563	1158	1093	1252	682	968	782	1309	1116	1296
JR_109010445	2187	1437	925	2934	1434	2031	1317	1569	1353	1386	3596	2220	296	379	280	1303	1506	697	2512	2762	1731	2982	2248	1998	3834	3855	2343	3356	1947	2950	3822	4594	1825	3247	2053	2702
